pulseHeat	2	40	1
time        temp
0           285
1			289
2			291
3			294
4			297
5			300
6			303
7			306
8			309
9			312
10			315
11			318
12			321
13			324
14			327
15			330
16			333
17			336
18			339
19          342
20			345
21			351
22			356
23			362
24			369
25          375
26			380
27			386
28          388
29			390
30          393
31          393.0
32	        392.5693779904306
33	        392.1387559808612
34	        390.7081339712919
35	        390.2775119617225
36	        388.8468899521531
37	        388.4162679425837
38	        384.9856459330143
39	        384.555023923445
40	        384.1244019138756
41	        384.6937799043062
42	        381.2631578947368
43	        381.8325358851675
44	        381.4019138755981
45	        379.9712918660287
46	        379.5406698564593
47	        379.1100478468899
48	        375.6794258373206
49	        375.2488038277512
50	        375.8181818181818
51	        375.3875598086124
52	        371.9569377990431
53	        371.5263157894737
54	        371.0956937799043
55	        371.6650717703349
56	        371.23444976076553
57	        368.8038277511962
58	        368.3732057416268
59	        368.9425837320574
60	        368.511961722488
61	        368.08133971291863
62          364.6507177033493
63	        364.2200956937799
64	        364.7894736842105
65          364.35885167464113
66	        364.9282296650718
67	        360.4976076555024
68	        360.066985645933
69	        360.6363636363636
70	        360.20574162679424
71	        359.7751196172249
72	        359.3444976076555
73	        359.9138755980861
74	        359.48325358851673
75	        355.05263157894734
76	        355.622009569378
77	        355.1913875598086
78	        355.7607655502392
79	        350.33014354066984
80	        350.8995215311005
81	        350.4688995215311
82	        350.0382775119617
83	        350.60765550239233
84	        350.17703349282294
85	        349.7464114832536
86	        349.3157894736842
87	        348.88516746411483
88	        348.45454545454544
89	        348.02392344497605
90	        347.5933014354067
91	        347.1626794258373
92	        346.73205741626793
93	        346.30143540669854
94	        345.8708133971292
95	        345.4401913875598
96	        345.00956937799043
97	        344.57894736842104
98	        344.14832535885165
99	        343.7177033492823
100	        343.2870813397129
101	        342.85645933014354
102	        342.42583732057415
103	        341.9952153110048
104	        341.5645933014354
105	        341.13397129186603
106	        340.70334928229664
107	        340.27272727272725
108	        339.8421052631579
109	        339.41148325358853
110	        338.98086124401914
111	        338.55023923444975
112	        338.11961722488036
113	        337.688995215311
114	        337.25837320574163
115	        336.82775119617224
116	        336.39712918660285
117	        335.96650717703346
118	        335.53588516746413
119	        335.10526315789474
120	        334.67464114832535
121	        334.24401913875596
122	        333.81339712918657
123	        333.38277511961724
124	        332.95215311004785
125	        332.52153110047846
126	        332.09090909090907
127	        331.66028708133973
128	        331.22966507177034
129	        330.79904306220095
130	        330.36842105263156
131	        329.9377990430622
132	        329.50717703349284
133	        329.07655502392345
134	        328.64593301435406
135	        328.21531100478467
136	        327.78468899521533
137	        327.35406698564594
138	        326.92344497607655
139	        326.49282296650716
140	        326.0622009569378
141	        325.63157894736844
142	        325.20095693779905
143	        324.77033492822966
144	        324.33971291866027
145	        323.9090909090909
146	        323.47846889952154
147	        323.04784688995215
148	        322.61722488038276
149	        322.1866028708134
150	        321.75598086124404
151	        321.32535885167465
152	        320.89473684210526
153	        320.46411483253587
154	        320.0334928229665
155	        319.60287081339715
156	        319.17224880382776
157	        318.74162679425837
158	        318.311004784689
159	        317.88038277511964
160	        317.44976076555025
161	        317.01913875598086
162	        316.58851674641147
163	        316.1578947368421
164	        315.72727272727275
165	        315.29665071770336
166	        314.86602870813397
167	        314.4354066985646
168	        314.0047846889952
169	        313.57416267942585
170	        313.14354066985646
171	        312.7129186602871
172	        312.2822966507177
173	        311.8516746411483
174	        311.42105263157896
175	        310.99043062200957
176	        310.5598086124402
177	        310.1291866028708
178	        309.69856459330146
179	        309.26794258373207
180	        308.8373205741627
181	        308.4066985645933
182	        307.97607655502395
183	        307.54545454545456
184	        307.11483253588517
185	        306.6842105263158
186	        306.2535885167464
187	        305.82296650717706
188	        305.39234449760767
189	        304.9617224880383
190	        304.5311004784689
191	        304.1004784688995
192	        303.66985645933016
193	        303.2392344497608
194	        302.8086124401914
195	        302.377990430622
196	        301.9473684210526
197	        301.51674641148327
198	        301.0861244019139
199	        300.6555023923445
200	        300.2248803827751
201	        299.7942583732057
202	        299.3636363636364
203	        298.933014354067
204	        298.5023923444976
205	        298.07177033492826
206	        297.6411483253588
207	        297.2105263157895
208	        296.7799043062201
209	        296.3492822966507
210	        295.91866028708137
211	        295.488038277512
212	        295.0574162679426
213	        294.6267942583732
214	        294.1961722488038
215	        294.76555023923447
216	        294.3349282296651
217	        293.9043062200957
218	        293.4736842105263
219	        293.0430622009569
220	        292.6124401913876
221	        292.1818181818182
222	        292.7511961722488
223	        291.3205741626794
224	        291.88995215311
225	        291.4593301435407
226	        291.0287081339713
227	        291.5980861244019
228	        291.1674641148325
229	        290.7368421052631
230	        290.3062200956938
231	        290.8755980861244
232	        290.444976076555
233	        290.0143540669857
234	        290.5837320574162
235	        289.1531100478469
236	        289.7224880382775
237	        289.2918660287081
238	        289.8612440191388
239	        289.4306220095694
240	        289.92050209205024
241         289.0
242         288.5439330543933
243         288.1673640167364
244         288.7907949790795
245         288.4142259414226
246         288.0376569037657
247         288.6610878661088
248         288.2845188284519
249         287.907949790795
250         287.5313807531381
251         287.1548117154812
252         287.77824267782427
253         287.40167364016736
254         287.02510460251045
255         286.64853556485355
256	        286.27196652719664
257	        286.89539748953973
258	        286.5188284518829
259	        286.1422594142259
260         286.76569037656907
261         285.3891213389121
262         285.01255230125525
263         285.63598326359835
264         285.25941422594144
265         285.88284518828453
266         285.5062761506276
267         285.1297071129707
268         285.7531380753138
269         285.3765690376569
270         285.0
